Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating,Day,Month,Year
A,Yangon,1,1,Sports and travel,0.6396143802986958,0.16769516767913598,0.5471800078719824,0.5471800078719822,1,435.66,4.761904762,21.783,-0.04232352571662398,1,1,2019
A,Yangon,1,1,Food and beverages,-0.03784281960652271,-0.8590099405604715,-0.613422852742753,-0.6134228527427531,1,164.01,4.761904762,8.2005,0.9473600192388287,21,1,2019
B,Mandalay,1,0,Home and lifestyle,-0.5804883024737464,-1.2012449766403408,-0.9697853949988734,-0.9697853949988733,2,80.6,4.761904762,4.03,-1.4977405035922904,11,3,2019
C,Naypyitaw,0,1,Electronic accessories,1.1467632205844867,-0.1745398684007332,0.5238525953229066,0.5238525953229063,2,430.2,4.761904762,21.51,-1.264873787132184,25,2,2019
B,Mandalay,1,1,Health and beauty,1.220022248890848,-0.8590099405604715,-0.18647993405609561,-0.18647993405609561,2,263.94,4.761904762,13.197,-1.0902237497871041,5,3,2019
B,Mandalay,1,1,Home and lifestyle,-0.8486012411207391,-1.2012449766403408,-1.0304537573059935,-1.0304537573059938,1,66.4,4.761904762,3.32,-1.4977405035922904,15,3,2019
A,Yangon,1,1,Electronic accessories,-0.7972443965348363,-0.1745398684007332,-0.5758682819906693,-0.5758682819906694,2,172.8,4.761904762,8.64,1.7041768477341757,17,2,2019
A,Yangon,0,1,Sports and travel,1.2445677996120512,-0.8590099405604715,-0.17814871528856852,-0.1781487152885685,2,265.89,4.761904762,13.2945,-0.566273637751864,2,3,2019
A,Yangon,0,0,Home and lifestyle,-0.11638858191437407,0.8521652398388743,0.4833500548530826,0.48335005485308224,1,420.72,4.761904762,21.036,0.8891433401238023,22,3,2019
B,Mandalay,1,1,Fashion accessories,-0.8365172776887619,-1.54348001272021,-1.1709309229861427,-1.1709309229861429,0,33.52,4.761904762,1.676,-0.1587568839466774,8,2,2019
A,Yangon,1,0,Fashion accessories,1.20831590931612,-1.2012449766403408,-0.5650163354934803,-0.5650163354934803,1,175.34,4.761904762,8.767,0.4234099072035891,10,3,2019
B,Mandalay,1,0,Food and beverages,1.2343719554663206,-0.1745398684007332,0.5734126659399906,0.5734126659399905,0,441.8,4.761904762,22.09,1.5295268103890953,25,1,2019
A,Yangon,1,1,Health and beauty,-1.1624066664948955,1.1944002759187435,-0.3570776598957657,-0.35707765989576573,0,224.01,4.761904762,11.2005,0.24875986985850929,15,3,2019
B,Mandalay,1,1,Fashion accessories,1.4522609210991584,-0.1745398684007332,0.6966719795005837,0.6966719795005837,1,470.65,4.761904762,23.5325,-1.264873787132184,25,2,2019
B,Mandalay,0,1,Sports and travel,0.8457970063568054,1.1944002759187435,1.687787943444653,1.6877879434446523,0,702.63,4.761904762,35.1315,-1.439523824477264,28,1,2019
B,Mandalay,1,1,Sports and travel,1.0614202288461478,0.8521652398388743,1.5494042635060874,1.549404263506087,0,670.24,4.761904762,33.512,-1.0902237497871041,10,1,2019
A,Yangon,1,1,Health and beauty,1.5447787661252335,-1.2012449766403408,-0.488881813217925,-0.488881813217925,1,193.16,4.761904762,9.658,-1.0902237497871041,15,3,2019
C,Naypyitaw,0,0,Food and beverages,1.6520239415840308,-0.5167749044806024,0.3849135007998393,0.38491350079983927,2,397.68,4.761904762,19.884,0.3069765489735357,6,2,2019
C,Naypyitaw,0,0,Sports and travel,0.47006126839376666,-1.54348001272021,-1.0231051951110466,-1.0231051951110466,2,68.12,4.761904762,3.406,-0.10054020483165095,7,1,2019
A,Yangon,0,1,Sports and travel,0.26236814690665927,-0.1745398684007332,0.023552227283202713,0.023552227283202668,2,313.1,4.761904762,15.655,0.015893153398402464,10,3,2019
A,Yangon,1,0,Electronic accessories,0.19666159574528375,1.1944002759187435,1.0268018636886957,1.0268018636886957,2,547.92,4.761904762,27.396,-1.3230904662472105,15,1,2019
C,Naypyitaw,1,0,Health and beauty,-0.028402223175290564,0.8521652398388743,0.5629879614308798,0.5629879614308796,2,439.36,4.761904762,21.968,0.3651932280885622,23,3,2019
B,Mandalay,0,1,Home and lifestyle,-0.9649093891535191,0.8521652398388743,-0.2846601429164917,-0.2846601429164917,0,240.96,4.761904762,12.048,0.4234099072035891,3,3,2019
B,Mandalay,0,0,Home and lifestyle,1.1724416428774378,-1.54348001272021,-0.9436381853284805,-0.9436381853284806,2,86.72,4.761904762,4.336,0.5398432654336426,17,1,2019
C,Naypyitaw,0,1,Home and lifestyle,0.016535015837374347,-1.2012449766403408,-0.8346914783685111,-0.8346914783685109,0,112.22,4.761904762,5.611,-0.39162360040678423,2,2,2019
B,Mandalay,0,0,Sports and travel,0.5078236541186952,0.16769516767913598,0.4577155355683838,0.4577155355683837,0,414.72,4.761904762,20.736,-0.7991403542119708,8,2,2019
C,Naypyitaw,0,0,Food and beverages,1.6248350238620823,0.8521652398388743,2.0593603004763605,2.059360300476361,0,789.6,4.761904762,39.48,0.3651932280885622,4,3,2019
C,Naypyitaw,0,1,Health and beauty,-1.5219045785962155,-1.2012449766403408,-1.1828082502547197,-1.18280825025472,0,30.74,4.761904762,1.537,0.13232651162845588,16,3,2019
B,Mandalay,0,0,Electronic accessories,1.4458413155259204,-0.5167749044806024,0.29160385060353605,0.29160385060353583,0,375.84,4.761904762,18.792,1.4713101312740688,9,3,2019
B,Mandalay,0,1,Health and beauty,0.038437199557832855,1.1944002759187435,0.8656889099843641,0.8656889099843641,1,510.21,4.761904762,25.5105,0.8309266610087758,27,2,2019
B,Mandalay,0,0,Food and beverages,-1.3466871088325472,1.1944002759187435,-0.5447223410597604,-0.5447223410597604,2,180.09,4.761904762,9.0045,-1.6723905409373707,6,2,2019
B,Mandalay,0,1,Electronic accessories,-1.3874704854154698,0.16769516767913598,-0.8288809873306459,-0.8288809873306459,1,113.58,4.761904762,5.679,0.6562766236636954,10,2,2019
C,Naypyitaw,0,0,Fashion accessories,1.01799348526248,1.5366353119986127,2.216158110101101,2.2161581101011016,2,826.3,4.761904762,41.315,0.5398432654336426,19,3,2019
C,Naypyitaw,0,1,Food and beverages,1.3491696080701039,0.5099302037590051,1.4193518023350487,1.4193518023350487,0,639.8,4.761904762,31.99,1.4713101312740688,3,2,2019
A,Yangon,0,0,Food and beverages,-0.41848766771380264,-0.1745398684007332,-0.3616064249693957,-0.3616064249693958,0,222.95,4.761904762,11.1475,0.8891433401238023,10,2,2019
B,Mandalay,0,0,Fashion accessories,-1.4274986142838941,-0.5167749044806024,-1.0087498643116153,-1.0087498643116153,2,71.48,4.761904762,3.574,-0.2751902421767308,22,3,2019
C,Naypyitaw,0,1,Fashion accessories,-1.51963883545272,-1.54348001272021,-1.2482189986295094,-1.2482189986295094,1,15.43,4.761904762,0.7715,-0.5080569586368376,25,1,2019
B,Mandalay,1,1,Home and lifestyle,-1.4920722938735218,-1.2012449766403408,-1.1760578268430826,-1.1760578268430826,2,32.32,4.761904762,1.616,-0.2751902421767308,7,3,2019
C,Naypyitaw,1,0,Electronic accessories,1.1444974774409908,0.8521652398388743,1.6245988534078706,1.62459885340787,0,687.84,4.761904762,34.392,0.7144933027787219,28,2,2019
A,Yangon,0,1,Home and lifestyle,-0.42792826414503476,-1.2012449766403408,-0.9352642423621458,-0.9352642423621457,0,88.68,4.761904762,4.434,-0.6827069959819174,27,3,2019
A,Yangon,1,1,Health and beauty,1.281197313765232,0.8521652398388743,1.74832813315535,1.7483281331553493,2,716.8,4.761904762,35.84,-0.21697356306170434,7,2,2019
A,Yangon,0,0,Home and lifestyle,0.6297961600102141,1.5366353119986127,1.7769533463565963,1.776953346356596,0,723.5,4.761904762,36.175,-0.9155737124420238,20,1,2019
C,Naypyitaw,1,1,Electronic accessories,-0.9464058201483042,0.16769516767913598,-0.5294698020853646,-0.5294698020853648,0,183.66,4.761904762,9.183,1.3548767730440159,12,3,2019
C,Naypyitaw,0,0,Sports and travel,-1.168071024353635,-0.8590099405604715,-0.9970434338382695,-0.9970434338382697,1,74.22,4.761904762,3.711,1.7623935268492021,15,2,2019
C,Naypyitaw,1,1,Home and lifestyle,0.0021853092619013932,0.16769516767913598,0.11446932234626772,0.11446932234626749,2,334.38,4.761904762,16.719,0.015893153398402464,24,2,2019
B,Mandalay,0,0,Sports and travel,-0.022737865316551333,1.1944002759187435,0.8033970281225463,0.8033970281225462,2,495.63,4.761904762,24.7815,1.7623935268492021,3,2,2019
A,Yangon,0,1,Sports and travel,-1.505289128877247,1.5366353119986127,-0.6386728542381812,-0.6386728542381813,1,158.1,4.761904762,7.905,0.9473600192388287,6,3,2019
B,Mandalay,0,1,Health and beauty,0.757810647617722,-0.5167749044806024,-0.019770110307938127,-0.01977011030793816,0,302.96,4.761904762,15.148,0.3651932280885622,14,2,2019
A,Yangon,0,1,Health and beauty,-1.5030233857337514,1.5366353119986127,-0.6361094023097115,-0.6361094023097115,0,158.7,4.761904762,7.935,-0.6827069959819174,13,3,2019
C,Naypyitaw,1,0,Health and beauty,-0.8384053969750085,-1.2012449766403408,-1.0281466505703707,-1.0281466505703707,2,66.94,4.761904762,3.347,-0.1587568839466774,10,2,2019
B,Mandalay,0,0,Fashion accessories,1.58367402342191,0.16769516767913598,1.188042989989451,1.1880429899894505,2,585.66,4.761904762,29.283,1.7041768477341757,7,1,2019
A,Yangon,1,1,Sports and travel,0.8722306763642556,1.5366353119986127,2.051242702702873,2.051242702702873,0,787.7,4.761904762,39.385,-0.33340692129175725,24,1,2019
A,Yangon,0,0,Health and beauty,-1.410127916850427,-1.54348001272021,-1.2358289809752385,-1.2358289809752383,0,18.33,4.761904762,0.9165,-1.5559571827073173,2,2,2019
C,Naypyitaw,1,1,Food and beverages,1.276665827478241,1.5366353119986127,2.5088188719347455,2.508818871934745,1,894.8,4.761904762,44.74,1.5295268103890953,6,1,2019
C,Naypyitaw,1,1,Fashion accessories,0.24348695404419496,1.5366353119986127,1.3398847925524828,1.3398847925524828,0,621.2,4.761904762,31.06,-0.6244903168668905,11,2,2019
B,Mandalay,0,0,Food and beverages,-0.2700814918148334,-0.8590099405604715,-0.6922489995432016,-0.6922489995432017,2,145.56,4.761904762,7.278,-1.7306072200523972,5,3,2019
C,Naypyitaw,1,0,Electronic accessories,0.7642302531909599,0.16769516767913598,0.6317739215114881,0.631773921511488,0,455.46,4.761904762,22.773,1.0055766983538552,9,3,2019
A,Yangon,1,1,Home and lifestyle,0.7174048948920487,1.1944002759187435,1.5570518950926893,1.5570518950926888,2,672.03,4.761904762,33.6015,1.4130934521590424,22,1,2019
C,Naypyitaw,1,0,Electronic accessories,-0.5295090817450928,1.5366353119986127,0.46532044295617764,0.4653204429561775,1,416.5,4.761904762,20.825,-0.9155737124420238,13,1,2019
C,Naypyitaw,0,1,Fashion accessories,-0.25044505123787064,1.1944002759187435,0.5715328011924462,0.571532801192446,1,441.36,4.761904762,22.068,0.9473600192388287,9,1,2019
A,Yangon,0,0,Fashion accessories,-1.3466871088325472,1.1944002759187435,-0.5447223410597604,-0.5447223410597604,1,180.09,4.761904762,9.0045,-0.7409236750969439,12,1,2019
C,Naypyitaw,0,0,Food and beverages,0.8548599789307887,1.5366353119986127,2.0315895712512706,2.03158957125127,2,783.1,4.761904762,39.155,-0.21697356306170434,5,3,2019
C,Naypyitaw,1,0,Health and beauty,-1.3327150261143232,-0.1745398684007332,-0.8787828515381927,-0.8787828515381928,0,101.9,4.761904762,5.095,-0.566273637751864,22,1,2019
C,Naypyitaw,1,0,Health and beauty,1.643338592867297,0.16769516767913598,1.228545530459275,1.2285455304592747,1,595.14,4.761904762,29.757,-0.8573570333269973,21,1,2019
B,Mandalay,1,0,Food and beverages,1.5485550046977268,-0.8590099405604715,-0.07496977516765599,-0.07496977516765622,2,290.04,4.761904762,14.502,-0.33340692129175725,26,1,2019
C,Naypyitaw,1,1,Food and beverages,-1.3753865219834926,0.8521652398388743,-0.6561897757493921,-0.6561897757493922,2,154.0,4.761904762,7.7,-0.21697356306170434,23,1,2019
C,Naypyitaw,0,0,Food and beverages,0.9322728696668922,-0.5167749044806024,0.05918420908893394,0.05918420908893393,1,321.44,4.761904762,16.072,0.7727099818937494,23,2,2019
C,Naypyitaw,0,1,Sports and travel,-0.2553541613821115,-0.1745398684007332,-0.26932215554448036,-0.26932215554448047,0,244.55,4.761904762,12.2275,-0.21697356306170434,9,3,2019
C,Naypyitaw,1,0,Sports and travel,1.0342313111241994,0.5099302037590051,1.1699279296949303,1.16992792969493,2,581.42,4.761904762,29.071,-1.7306072200523972,5,3,2019
C,Naypyitaw,1,1,Fashion accessories,0.7872653084831663,-0.1745398684007332,0.32048540899762973,0.3204854089976298,0,382.6,4.761904762,19.13,1.7041768477341757,25,3,2019
A,Yangon,0,1,Food and beverages,-0.2376058400913948,0.5099302037590051,0.16266221860150135,0.1626622186015011,1,345.66,4.761904762,17.283,0.19054319074348233,27,3,2019
A,Yangon,1,1,Sports and travel,-0.49854392545065135,-1.54348001272021,-1.1326927650531338,-1.1326927650531338,0,42.47,4.761904762,2.1235,-0.7409236750969439,2,1,2019
B,Mandalay,1,0,Health and beauty,0.8050136297738827,0.16769516767913598,0.6594592023389629,0.6594592023389626,0,461.94,4.761904762,23.097,-0.5080569586368376,27,2,2019
C,Naypyitaw,0,0,Home and lifestyle,-0.31313061154125194,-0.5167749044806024,-0.5044334215839755,-0.5044334215839755,0,189.52,4.761904762,9.476,0.07410983251342891,23,1,2019
C,Naypyitaw,1,0,Sports and travel,-0.40829182356807203,1.5366353119986127,0.6024651211293159,0.6024651211293157,2,448.6,4.761904762,22.43,0.7144933027787219,26,1,2019
A,Yangon,0,0,Sports and travel,-1.272295208954438,0.5099302037590051,-0.6567879145327018,-0.6567879145327018,2,153.86,4.761904762,7.693,-1.0902237497871041,10,1,2019
B,Mandalay,0,1,Health and beauty,0.328074698068035,1.1944002759187435,1.1606140543548231,1.160614054354823,1,579.24,4.761904762,28.962,0.9473600192388287,12,3,2019
C,Naypyitaw,1,1,Health and beauty,1.2868616716239714,-1.54348001272021,-0.9306927530897078,-0.9306927530897077,1,89.75,4.761904762,4.4875,-0.21697356306170434,6,2,2019
A,Yangon,1,1,Electronic accessories,1.566680949845692,-1.54348001272021,-0.8990341217731049,-0.8990341217731048,2,97.16,4.761904762,4.858,0.13232651162845588,8,3,2019
B,Mandalay,1,1,Health and beauty,1.215868386461106,1.5366353119986127,2.4400329118541375,2.440032911854137,2,878.7,4.761904762,43.935,-1.0902237497871041,29,3,2019
C,Naypyitaw,1,0,Electronic accessories,-1.6321707449130072,0.16769516767913598,-0.9949926722954938,-0.9949926722954937,0,74.7,4.761904762,3.735,-1.6723905409373707,9,2,2019
A,Yangon,1,1,Food and beverages,-0.11034660019838563,-0.8590099405604715,-0.6380319912560638,-0.6380319912560639,2,158.25,4.761904762,7.9125,1.3548767730440159,23,3,2019
B,Mandalay,1,1,Home and lifestyle,1.0206368522632252,0.16769516767913598,0.8058323074545924,0.8058323074545924,0,496.2,4.761904762,24.81,0.24875986985850929,5,3,2019
C,Naypyitaw,0,1,Fashion accessories,-0.262906638527097,-1.54348001272021,-1.1060328649970472,-1.106032864997047,0,48.71,4.761904762,2.4355,-1.6723905409373707,26,3,2019
C,Naypyitaw,1,1,Fashion accessories,0.8639229515047714,1.1944002759187435,1.7062447973296355,1.7062447973296355,0,706.95,4.761904762,35.3475,0.13232651162845588,1,3,2019
C,Naypyitaw,1,0,Electronic accessories,-1.2311342085142656,1.1944002759187435,-0.4270598975429931,-0.4270598975429932,0,207.63,4.761904762,10.3815,-1.206657108017157,1,2,2019
A,Yangon,1,1,Food and beverages,0.09772414514597072,0.16769516767913598,0.17932465613655557,0.17932465613655538,0,349.56,4.761904762,17.478,1.7041768477341757,28,3,2019
B,Mandalay,1,1,Health and beauty,-0.9562240404367855,0.5099302037590051,-0.4064668337176185,-0.40646683371761866,0,212.45,4.761904762,10.6225,0.598059944548669,19,3,2019
A,Yangon,0,1,Electronic accessories,1.2460782950410487,1.5366353119986127,2.474212270900402,2.4742122709004013,2,886.7,4.761904762,44.335,0.19054319074348233,12,1,2019
C,Naypyitaw,1,1,Fashion accessories,-1.0683783260398234,0.16769516767913598,-0.6122692993749416,-0.6122692993749416,1,164.28,4.761904762,8.214,0.5398432654336426,5,1,2019
A,Yangon,1,1,Sports and travel,0.24386457790144445,0.16769516767913598,0.27853024576833946,0.27853024576833935,0,372.78,4.761904762,18.639,0.24875986985850929,22,3,2019
C,Naypyitaw,1,0,Food and beverages,-0.819146580255295,1.1944002759187435,-0.007550989448898336,-0.007550989448898487,0,305.82,4.761904762,15.291,-1.6141738618223438,24,3,2019
C,Naypyitaw,0,1,Electronic accessories,0.9930703106840271,1.5366353119986127,2.187960138887933,2.1879601388879326,0,819.7,4.761904762,40.985,1.2966600939289885,3,3,2019
B,Mandalay,0,0,Sports and travel,-1.4796107065842954,-1.2012449766403408,-1.1732380297217657,-1.1732380297217655,2,32.98,4.761904762,1.649,-1.3813071453622374,5,2,2019
C,Naypyitaw,0,0,Health and beauty,1.6063314548568668,-0.8590099405604715,-0.05535936791486147,-0.05535936791486168,1,294.63,4.761904762,14.7315,0.4816265863186156,5,2,2019
B,Mandalay,1,0,Fashion accessories,0.6482997290154294,0.5099302037590051,0.8642790114237057,0.8642790114237057,0,509.88,4.761904762,25.494,0.8309266610087758,15,2,2019
A,Yangon,0,1,Home and lifestyle,0.09054929185823438,1.1944002759187435,0.9187523649036904,0.9187523649036902,2,522.63,4.761904762,26.1315,-1.5559571827073173,19,1,2019
C,Naypyitaw,0,0,Home and lifestyle,0.9485106955286117,1.1944002759187435,1.7923767821262235,1.7923767821262233,1,727.11,4.761904762,36.3555,1.4713101312740688,1,2,2019
C,Naypyitaw,1,0,Fashion accessories,-1.0819727849007976,-0.8590099405604715,-0.9678200818537132,-0.967820081853713,1,81.06,4.761904762,4.053,0.07410983251342891,2,3,2019
B,Mandalay,0,1,Fashion accessories,-1.2738057043834348,-0.1745398684007332,-0.8454579764680843,-0.8454579764680844,2,109.7,4.761904762,5.485,-0.9737903915570507,5,3,2019
B,Mandalay,0,1,Fashion accessories,-0.16283631635603635,-1.54348001272021,-1.0947109523129719,-1.0947109523129719,2,51.36,4.761904762,2.568,-1.0320070706720772,16,1,2019
A,Yangon,1,0,Food and beverages,-1.6884366996431506,1.5366353119986127,-0.8458852184561627,-0.8458852184561628,2,109.6,4.761904762,5.48,-0.566273637751864,2,2,2019
B,Mandalay,1,1,Home and lifestyle,-0.084290554048185,-1.2012449766403408,-0.8575062005318929,-0.8575062005318929,2,106.88,4.761904762,5.344,-1.6723905409373707,20,1,2019
A,Yangon,1,0,Electronic accessories,1.6573106755855207,0.8521652398388743,2.088754549256149,2.0887545492561483,1,796.48,4.761904762,39.824,-1.0320070706720772,14,2,2019
C,Naypyitaw,0,1,Sports and travel,0.054675025419552124,0.5099302037590051,0.3941419277423309,0.3941419277423307,1,399.84,4.761904762,19.992,-0.2751902421767308,12,1,2019
B,Mandalay,0,1,Sports and travel,1.672415629875492,1.1944002759187435,2.529497384157736,2.529497384157735,1,899.64,4.761904762,44.982,-1.6141738618223438,9,3,2019
C,Naypyitaw,0,1,Home and lifestyle,0.3110816244918171,0.8521652398388743,0.8702603992568021,0.8702603992568021,1,511.28,4.761904762,25.564,-1.3813071453622374,13,3,2019
B,Mandalay,0,0,Fashion accessories,0.030129474698348608,0.8521652398388743,0.6159659679525906,0.6159659679525905,2,451.76,4.761904762,22.588,0.19054319074348233,9,3,2019
A,Yangon,1,0,Home and lifestyle,1.4356454713801898,0.5099302037590051,1.4878386930240026,1.4878386930240022,1,655.83,4.761904762,32.7915,-1.439523824477264,10,3,2019
A,Yangon,1,0,Sports and travel,-0.8844755075594213,-0.1745398684007332,-0.6252147316137144,-0.6252147316137144,0,161.25,4.761904762,8.0625,1.1802267356989355,27,1,2019
C,Naypyitaw,1,0,Fashion accessories,-0.9041119481363842,1.1944002759187435,-0.09406749203475666,-0.09406749203475667,1,285.57,4.761904762,14.2785,-0.6244903168668905,8,1,2019
C,Naypyitaw,0,0,Food and beverages,0.48592147039823674,0.8521652398388743,1.028510831641009,1.0285108316410088,2,548.32,4.761904762,27.416,0.8891433401238023,8,1,2019
B,Mandalay,1,0,Sports and travel,1.3068757360581835,1.1944002759187435,2.1572841641439098,2.1572841641439098,2,812.52,4.761904762,40.626,0.13232651162845588,8,2,2019
B,Mandalay,1,0,Fashion accessories,-0.6061667247666979,0.5099302037590051,-0.12922950765360164,-0.1292295076536018,0,277.34,4.761904762,13.867,0.3069765489735357,25,1,2019
A,Yangon,0,0,Sports and travel,1.3767361496493014,0.16769516767913598,1.0475658243093016,1.0475658243093013,0,552.78,4.761904762,27.639,0.7727099818937494,6,3,2019
B,Mandalay,1,0,Sports and travel,-0.7866709285318562,-0.5167749044806024,-0.718738002804057,-0.718738002804057,0,139.36,4.761904762,6.968,0.24875986985850929,10,2,2019
B,Mandalay,0,1,Electronic accessories,1.200008184456636,0.16769516767913598,0.9275962740569115,0.9275962740569113,1,524.7,4.761904762,26.235,1.0637933774688826,17,2,2019
C,Naypyitaw,1,0,Health and beauty,0.967769512248325,0.16769516767913598,0.7699439804560144,0.7699439804560144,2,487.8,4.761904762,24.39,-0.9737903915570507,8,3,2019
C,Naypyitaw,1,1,Fashion accessories,1.3046099929146877,-0.8590099405604715,-0.15776927245723302,-0.1577692724572331,0,270.66,4.761904762,13.533,-0.44984027952181066,18,2,2019
A,Yangon,1,0,Electronic accessories,-1.108784078765497,-0.1745398684007332,-0.7521056020729733,-0.7521056020729733,1,131.55,4.761904762,6.5775,1.0637933774688826,18,1,2019
A,Yangon,0,0,Home and lifestyle,-0.8025311305363262,0.16769516767913598,-0.4318022836106624,-0.43180228361066253,0,206.52,4.761904762,10.326,1.6459601686191492,18,2,2019
B,Mandalay,1,1,Sports and travel,-0.14206700420732576,1.5366353119986127,0.903670722724526,0.9036707227245258,0,519.1,4.761904762,25.955,0.7144933027787219,16,2,2019
A,Yangon,1,1,Sports and travel,0.6354605178689536,0.8521652398388743,1.1638610934642182,1.1638610934642182,2,580.0,4.761904762,29.0,1.2966600939289885,16,3,2019
C,Naypyitaw,0,0,Sports and travel,1.2887497909102177,1.5366353119986127,2.5224906155532514,2.522490615553251,1,898.0,4.761904762,44.9,-0.9155737124420238,23,1,2019
C,Naypyitaw,0,1,Health and beauty,1.3151834609176678,1.5366353119986127,2.552397554718733,2.552397554718733,0,905.0,4.761904762,45.25,0.6562766236636954,25,1,2019
C,Naypyitaw,0,0,Health and beauty,0.488187213541732,1.5366353119986127,1.6167376008272292,1.616737600827229,0,686.0,4.761904762,34.3,1.238443414813962,5,2,2019
C,Naypyitaw,0,0,Food and beverages,-0.9539582972932898,-1.54348001272021,-1.1842181488153782,-1.1842181488153782,1,30.41,4.761904762,1.5205,0.8309266610087758,22,2,2019
A,Yangon,1,0,Home and lifestyle,0.8412655200698145,0.16769516767913598,0.6840683408522737,0.6840683408522733,2,467.7,4.761904762,23.385,0.598059944548669,21,1,2019
C,Naypyitaw,1,0,Health and beauty,-0.35542448355317213,0.16769516767913598,-0.1282895752798294,-0.12828957527982954,1,277.56,4.761904762,13.878,1.4713101312740688,8,3,2019
A,Yangon,0,0,Fashion accessories,-0.9641541414390206,1.5366353119986127,-0.026435085321959748,-0.026435085321959737,2,301.4,4.761904762,15.07,1.2966600939289885,10,2,2019
C,Naypyitaw,1,1,Health and beauty,0.39529174465840794,-0.5167749044806024,-0.18383103373001003,-0.18383103373001003,1,264.56,4.761904762,13.228,-0.7991403542119708,19,3,2019
B,Mandalay,0,1,Home and lifestyle,0.6112925910049993,0.8521652398388743,1.1419863036746087,1.1419863036746085,1,574.88,4.761904762,28.744,-0.44984027952181066,6,3,2019
A,Yangon,1,1,Health and beauty,-0.8765454065571863,0.8521652398388743,-0.20468044274823166,-0.20468044274823177,1,259.68,4.761904762,12.984,-1.206657108017157,27,3,2019
B,Mandalay,0,0,Fashion accessories,1.3544563420715938,-0.5167749044806024,0.2502468261575552,0.2502468261575552,1,366.16,4.761904762,18.308,-1.264873787132184,23,3,2019
C,Naypyitaw,0,1,Sports and travel,-0.7972443965348363,0.5099302037590051,-0.28055861983093994,-0.28055861983094,1,241.92,4.761904762,12.096,0.19054319074348233,11,3,2019
A,Yangon,1,1,Fashion accessories,1.0410285405546862,1.1944002759187435,1.8865836404974914,1.8865836404974914,1,749.16,4.761904762,37.458,0.24875986985850929,29,1,2019
C,Naypyitaw,1,0,Food and beverages,-1.4799883304415449,0.16769516767913598,-0.8916855595781578,-0.8916855595781578,2,98.88,4.761904762,4.944,1.7041768477341757,7,2,2019
